,product_id,category,range_type,brand,brand_tier,width_inches,height_inches,depth_inches,burners,finish,features,price,rating
70,RNG-29697,range,electric,Samsung,mainstream,30,36,30,6,Black Stainless,"['Griddle', 'Smart enabled']",1830,3.5
71,RNG-79710,range,induction,Miele,luxury,30,40,26,6,Stainless Steel,"['WiFi', 'Griddle', 'Smart enabled', 'Steam Clean']",7320,3.9
72,RNG-34728,range,electric,Whirlpool,budget,24,36,26,5,Black Stainless,['Griddle'],1050,4.0
73,RNG-30852,range,dual fuel,Monogram,luxury,36,37,26,4,Stainless Steel,"['Convection', 'Smart enabled', 'Griddle', 'Self Clean', 'Air Fry']",10770,4.4
74,RNG-11057,range,electric,Frigidaire,budget,30,38,28,5,White,"['WiFi', 'Convection']",1520,4.2
75,RNG-49965,range,induction,Miele,luxury,48,38,31,5,White,"['Steam Clean', 'Air Fry', 'WiFi', 'Griddle']",16810,3.7
76,RNG-69221,range,electric,LG,mainstream,36,35,27,5,Stainless Steel,"['Convection', 'Smart enabled']",2210,4.2
77,RNG-25445,range,dual fuel,Wolf,luxury,48,37,31,6,Black Stainless,"['Smart enabled', 'Air Fry', 'Steam Clean', 'Self Clean', 'Convection', 'WiFi', 'Griddle']",25000,4.3
78,RNG-99482,range,induction,GE,mainstream,30,35,25,5,White,"['Air Fry', 'Smart enabled', 'Steam Clean', 'Griddle']",3290,4.0
79,RNG-36956,range,induction,GE,mainstream,30,36,28,5,Black Stainless,"['Griddle', 'Steam Clean']",2790,4.0
80,RNG-03500,range,electric,LG,mainstream,36,38,25,6,Black Stainless,"['Smart enabled', 'WiFi', 'Convection', 'Self Clean']",2350,4.2
81,RNG-56802,range,induction,Bosch,premium,36,37,31,5,Black,"['Air Fry', 'Convection', 'Self Clean']",6660,4.2
82,RNG-38259,range,gas,LG,mainstream,30,35,29,6,Black Stainless,"['Self Clean', 'WiFi']",2380,4.3
83,RNG-35872,range,gas,Wolf,luxury,30,36,30,5,Black,"['Convection', 'Smart enabled', 'Griddle', 'Steam Clean', 'Air Fry', 'WiFi']",5780,4.2
84,RNG-06308,range,induction,Bosch,premium,36,37,30,6,Stainless Steel,"['Griddle', 'WiFi', 'Air Fry', 'Smart enabled']",6280,4.1
85,RNG-15151,range,dual fuel,Thermador,luxury,36,39,29,5,White,"['Convection', 'WiFi', 'Air Fry', 'Steam Clean']",13890,4.1
86,RNG-36864,range,electric,Samsung,mainstream,30,36,29,6,Black Stainless,"['Steam Clean', 'Air Fry']",1970,4.0
87,RNG-42474,range,induction,Bosch,premium,30,36,30,5,Black,"['WiFi', 'Griddle', 'Smart enabled', 'Convection']",4990,4.4
88,RNG-44034,range,dual fuel,Thermador,luxury,36,36,29,4,Black Stainless,"['Griddle', 'Smart enabled', 'Convection', 'Self Clean']",11210,5.0
89,RNG-48703,range,induction,GE,mainstream,30,38,31,4,Black,"['Convection', 'Steam Clean', 'Self Clean', 'WiFi']",3690,4.3
90,RNG-95506,range,gas,Whirlpool,budget,30,40,31,6,White,['WiFi'],2070,4.2
91,RNG-83764,range,electric,GE,mainstream,30,36,29,5,Black,"['Griddle', 'Air Fry', 'Convection']",1730,4.5
92,RNG-92045,range,induction,Bosch,premium,48,44,30,4,Black,"['Convection', 'Griddle']",8680,4.2
93,RNG-60030,range,gas,Frigidaire,budget,30,40,31,4,Black Stainless,['Steam Clean'],1930,4.0
94,RNG-45133,range,induction,Cafe,premium,36,42,25,4,White,"['Smart enabled', 'WiFi', 'Self Clean', 'Griddle', 'Steam Clean']",5990,3.9
95,RNG-68623,range,gas,Wolf,luxury,48,36,31,5,White,"['Convection', 'Air Fry', 'Smart enabled', 'Griddle', 'WiFi', 'Steam Clean']",11190,3.9
96,RNG-22584,range,dual fuel,KitchenAid,premium,36,36,29,5,Black Stainless,"['WiFi', 'Self Clean', 'Smart enabled', 'Convection']",8170,4.3
97,RNG-39847,range,dual fuel,Thermador,luxury,36,38,31,6,Stainless Steel,"['Self Clean', 'Griddle', 'Convection', 'Air Fry', 'WiFi', 'Steam Clean', 'Smart enabled']",14570,4.1
98,RNG-58205,range,induction,Samsung,mainstream,30,36,28,5,Black Stainless,"['WiFi', 'Self Clean', 'Steam Clean', 'Smart enabled']",3640,4.4
99,RNG-70961,range,dual fuel,Cafe,premium,48,36,25,6,Stainless Steel,"['Griddle', 'Convection', 'Self Clean', 'WiFi', 'Steam Clean']",12080,4.1
100,RNG-97213,range,induction,Miele,luxury,48,37,27,6,White,"['Smart enabled', 'Griddle', 'Convection', 'Steam Clean', 'WiFi', 'Self Clean']",17270,4.2
101,RNG-17162,range,gas,KitchenAid,premium,36,46,30,5,Stainless Steel,"['Convection', 'Smart enabled', 'Air Fry', 'WiFi', 'Griddle']",5250,4.0
102,RNG-78404,range,electric,Bosch,premium,36,42,30,5,Stainless Steel,"['Smart enabled', 'Self Clean']",3140,4.3
103,RNG-45732,range,electric,Bosch,premium,48,38,26,4,Stainless Steel,"['Self Clean', 'Smart enabled', 'WiFi', 'Air Fry']",4420,4.0
104,RNG-80110,range,gas,LG,mainstream,30,36,28,4,Black Stainless,"['Self Clean', 'Steam Clean', 'Convection', 'WiFi']",2370,4.6
105,RNG-47850,range,electric,LG,mainstream,24,44,27,5,White,"['Smart enabled', 'Convection', 'Self Clean']",1560,4.0
106,RNG-11535,range,dual fuel,Monogram,luxury,30,40,31,4,Black Stainless,"['Air Fry', 'Smart enabled', 'Steam Clean', 'Convection']",9910,4.9
107,RNG-24918,range,induction,Bosch,premium,30,39,28,6,Black Stainless,"['Convection', 'Self Clean', 'Steam Clean', 'Smart enabled']",5610,4.5
108,RNG-28603,range,dual fuel,Cafe,premium,36,38,27,5,Black Stainless,"['Convection', 'Griddle']",7840,4.3
109,RNG-07749,range,induction,GE,mainstream,30,37,28,5,Black Stainless,"['Self Clean', 'Smart enabled']",3150,3.8
110,RNG-32433,range,dual fuel,KitchenAid,premium,30,36,29,4,White,"['Steam Clean', 'Griddle', 'Air Fry']",5160,4.0
111,RNG-37255,range,dual fuel,KitchenAid,premium,36,36,29,5,White,"['Griddle', 'Air Fry', 'Self Clean', 'Smart enabled', 'Convection']",8690,4.0
112,RNG-84415,range,electric,GE,mainstream,30,36,30,4,Stainless Steel,"['Air Fry', 'Convection', 'WiFi']",1800,4.4
113,RNG-11948,range,induction,Bosch,premium,48,36,30,4,Stainless Steel,"['Convection', 'Air Fry', 'Griddle', 'Steam Clean', 'WiFi']",8930,3.9
114,RNG-30377,range,electric,Whirlpool,budget,30,35,27,5,Black Stainless,"['Air Fry', 'WiFi', 'Smart enabled']",1520,4.3
115,RNG-01860,range,dual fuel,Monogram,luxury,30,36,29,5,Stainless Steel,"['Griddle', 'Self Clean', 'Smart enabled', 'Steam Clean', 'Convection']",10830,4.4
116,RNG-00391,range,gas,GE,mainstream,30,36,30,6,Stainless Steel,"['Steam Clean', 'Air Fry', 'WiFi', 'Self Clean']",2690,4.0
117,RNG-70960,range,dual fuel,Cafe,premium,36,44,27,4,Black Stainless,"['WiFi', 'Griddle', 'Air Fry', 'Steam Clean', 'Convection']",7520,4.0
118,RNG-33979,range,induction,GE,mainstream,30,36,30,5,White,"['Steam Clean', 'WiFi']",3480,4.2
119,RNG-00622,range,gas,Samsung,mainstream,30,38,26,4,White,"['Smart enabled', 'WiFi', 'Self Clean']",1960,4.2
120,RNG-76453,range,induction,Cafe,premium,30,36,25,5,Black,"['Griddle', 'Convection']",4260,4.3
121,RNG-62750,range,dual fuel,KitchenAid,premium,36,44,25,4,Black Stainless,"['Self Clean', 'Smart enabled']",7540,4.0
122,RNG-98264,range,dual fuel,KitchenAid,premium,36,35,29,5,Black,"['Griddle', 'WiFi']",7530,4.3
123,RNG-32649,range,dual fuel,KitchenAid,premium,30,38,29,5,Black,"['Air Fry', 'Convection']",6540,4.2
124,RNG-96153,range,induction,Bosch,premium,30,36,29,4,Stainless Steel,"['Griddle', 'Smart enabled']",3800,4.2
125,RNG-93754,range,electric,GE,mainstream,24,37,29,6,Stainless Steel,"['Steam Clean', 'Air Fry', 'Convection']",1660,3.6
126,RNG-30998,range,induction,Samsung,mainstream,30,37,29,6,Black,"['Griddle', 'Air Fry', 'Convection', 'Steam Clean']",4090,4.4
127,RNG-89415,range,gas,Frigidaire,budget,30,36,28,5,Black,"['Steam Clean', 'Self Clean', 'Air Fry']",1880,4.2
128,RNG-04903,range,induction,Bosch,premium,30,44,31,4,White,"['Air Fry', 'Self Clean', 'Griddle']",4920,4.3
129,RNG-52292,range,dual fuel,Monogram,luxury,36,40,28,4,White,"['Griddle', 'Steam Clean', 'Convection', 'Air Fry', 'WiFi']",12540,4.3
130,RNG-77363,range,gas,GE,mainstream,30,40,30,4,Black,"['Steam Clean', 'Convection', 'Air Fry', 'WiFi']",2270,4.3
131,RNG-59569,range,dual fuel,Cafe,premium,36,36,29,5,White,"['Griddle', 'WiFi', 'Self Clean', 'Convection', 'Steam Clean']",8970,4.2
132,RNG-30251,range,induction,GE,mainstream,24,44,31,5,Black Stainless,"['Smart enabled', 'Convection', 'WiFi']",3590,4.3
133,RNG-36648,range,dual fuel,Cafe,premium,30,40,29,6,Stainless Steel,"['Steam Clean', 'Air Fry', 'Self Clean']",6340,4.2
134,RNG-71434,range,dual fuel,Wolf,luxury,36,37,29,5,Stainless Steel,"['Air Fry', 'WiFi', 'Griddle', 'Convection']",14410,4.2
135,RNG-80282,range,electric,GE,mainstream,30,46,26,4,Black Stainless,"['Griddle', 'Convection', 'Steam Clean', 'Air Fry']",1930,4.0
136,RNG-11918,range,dual fuel,Thermador,luxury,36,35,31,5,Black,"['Steam Clean', 'Self Clean', 'Convection', 'Griddle', 'WiFi', 'Air Fry', 'Smart enabled']",12760,3.9
137,RNG-01226,range,gas,KitchenAid,premium,30,36,29,4,Black Stainless,"['Griddle', 'Smart enabled', 'Steam Clean']",3110,4.0
138,RNG-60835,range,induction,Miele,luxury,60,37,25,4,White,"['Air Fry', 'Smart enabled', 'Convection', 'Griddle']",19070,3.7
139,RNG-88120,range,electric,Whirlpool,budget,30,39,26,4,Stainless Steel,"['Air Fry', 'Self Clean']",1230,3.8
140,RNG-79721,range,induction,Miele,luxury,30,38,29,4,White,"['Air Fry', 'Griddle', 'Steam Clean', 'WiFi', 'Self Clean', 'Convection', 'Smart enabled']",6900,4.2
141,RNG-55765,range,dual fuel,Monogram,luxury,30,36,26,4,Black Stainless,"['Self Clean', 'Air Fry', 'WiFi', 'Convection']",8100,3.9
142,RNG-05633,range,dual fuel,Thermador,luxury,36,35,31,6,Black,"['Griddle', 'Convection', 'Air Fry', 'Smart enabled', 'Steam Clean']",14230,4.3
143,RNG-13389,range,gas,Samsung,mainstream,30,36,26,6,Black,"['Griddle', 'Smart enabled']",2250,4.4
144,RNG-47410,range,gas,LG,mainstream,30,37,27,6,Black Stainless,"['Steam Clean', 'WiFi', 'Self Clean']",2530,3.8
145,RNG-52756,range,dual fuel,Monogram,luxury,48,44,30,5,Black,"['Smart enabled', 'WiFi', 'Air Fry', 'Convection', 'Steam Clean']",23310,4.2
146,RNG-37921,range,electric,Samsung,mainstream,30,38,25,4,Black Stainless,"['Steam Clean', 'Air Fry', 'Griddle']",1640,4.5
147,RNG-70772,range,dual fuel,Monogram,luxury,36,36,30,5,Black Stainless,"['WiFi', 'Convection', 'Griddle', 'Steam Clean']",13060,4.2
148,RNG-60921,range,electric,Bosch,premium,30,38,29,6,White,"['WiFi', 'Steam Clean']",2590,4.3
149,RNG-00561,range,electric,Whirlpool,budget,30,37,26,5,Black Stainless,"['Steam Clean', 'Smart enabled', 'Convection']",1720,4.4
150,RNG-70289,range,induction,Samsung,mainstream,30,40,26,5,Black Stainless,"['WiFi', 'Smart enabled', 'Convection']",2890,3.9
151,RNG-73606,range,dual fuel,KitchenAid,premium,36,39,25,5,Stainless Steel,"['Griddle', 'WiFi']",7750,4.1
152,RNG-53127,range,electric,LG,mainstream,30,36,29,6,Black,"['WiFi', 'Self Clean', 'Smart enabled', 'Air Fry']",2040,4.0
153,RNG-54033,range,electric,LG,mainstream,30,36,28,4,White,"['Steam Clean', 'Griddle', 'Smart enabled']",1670,4.2
154,RNG-11930,range,electric,Samsung,mainstream,30,36,25,4,Stainless Steel,"['Steam Clean', 'Air Fry']",1470,4.0
155,RNG-14879,range,dual fuel,Monogram,luxury,30,36,26,5,White,"['Self Clean', 'WiFi', 'Convection', 'Steam Clean']",9540,4.4
156,RNG-48496,range,induction,Fisher & Paykel,luxury,48,36,25,5,Black Stainless,"['Griddle', 'Air Fry', 'WiFi', 'Smart enabled']",13720,4.5
157,RNG-19171,range,gas,Wolf,luxury,36,46,26,5,Stainless Steel,"['WiFi', 'Steam Clean', 'Griddle', 'Air Fry', 'Convection', 'Self Clean', 'Smart enabled']",7400,4.1
158,RNG-48958,range,induction,Cafe,premium,48,39,27,5,White,"['Griddle', 'Steam Clean', 'Air Fry', 'Smart enabled', 'Convection']",9150,4.2
159,RNG-96628,range,gas,GE,mainstream,30,39,31,4,White,"['Self Clean', 'Air Fry', 'Griddle', 'Smart enabled']",2500,4.0
160,RNG-65413,range,electric,Samsung,mainstream,30,36,26,5,White,"['Smart enabled', 'Air Fry', 'WiFi']",1810,4.2
161,RNG-22652,range,electric,Samsung,mainstream,30,39,30,4,White,"['Smart enabled', 'Air Fry', 'WiFi', 'Griddle']",1840,4.5
162,RNG-31259,range,electric,GE,mainstream,30,37,29,6,Black Stainless,"['Steam Clean', 'Self Clean']",1720,3.4
163,RNG-45070,range,dual fuel,Thermador,luxury,30,46,29,5,Black Stainless,"['WiFi', 'Convection', 'Self Clean', 'Griddle', 'Air Fry', 'Steam Clean', 'Smart enabled']",10520,4.6
164,RNG-23305,range,electric,Samsung,mainstream,30,36,31,5,Stainless Steel,"['Smart enabled', 'Convection', 'WiFi', 'Air Fry']",2100,3.7
165,RNG-66350,range,electric,Bosch,premium,30,44,29,6,Black,"['Steam Clean', 'Convection', 'Smart enabled']",2900,4.3
166,RNG-88543,range,induction,GE,mainstream,30,37,25,5,White,"['Self Clean', 'Smart enabled', 'Convection']",3040,4.3
167,RNG-87991,range,induction,GE,mainstream,30,36,27,5,Black Stainless,"['Steam Clean', 'WiFi', 'Self Clean', 'Air Fry']",3460,4.3
168,RNG-26386,range,gas,Samsung,mainstream,30,36,28,5,Black Stainless,"['Steam Clean', 'Smart enabled', 'WiFi']",2120,4.2
169,RNG-55028,range,electric,Bosch,premium,36,40,26,6,Black Stainless,"['Air Fry', 'Convection', 'Self Clean']",3280,4.2
170,RNG-53866,range,electric,Samsung,mainstream,36,36,31,4,Stainless Steel,"['Griddle', 'Convection', 'Air Fry', 'Smart enabled']",2420,4.5
171,RNG-41428,range,gas,GE,mainstream,30,36,27,6,Stainless Steel,"['Convection', 'Self Clean']",2040,4.0
172,RNG-89535,range,induction,Fisher & Paykel,luxury,36,40,30,6,Stainless Steel,"['Convection', 'WiFi', 'Steam Clean', 'Smart enabled', 'Air Fry', 'Self Clean']",11790,4.5
173,RNG-96289,range,electric,GE,mainstream,36,36,25,4,Stainless Steel,"['Self Clean', 'WiFi', 'Smart enabled']",1920,4.3
174,RNG-68314,range,electric,Samsung,mainstream,30,37,25,4,White,"['Convection', 'Griddle', 'Smart enabled', 'Air Fry']",1620,4.2
175,RNG-47166,range,induction,Cafe,premium,36,40,26,6,Stainless Steel,"['Self Clean', 'Griddle', 'Convection']",6240,4.4
176,RNG-91121,range,dual fuel,Cafe,premium,36,36,27,5,White,"['Steam Clean', 'WiFi', 'Air Fry', 'Smart enabled']",7110,4.1
177,RNG-53937,range,electric,LG,mainstream,30,36,27,4,White,"['Griddle', 'Smart enabled', 'WiFi']",1810,4.1
178,RNG-01669,range,electric,Whirlpool,budget,30,36,28,6,Black,"['Convection', 'Steam Clean']",1450,3.7
179,RNG-08739,range,gas,Frigidaire,budget,30,36,28,4,Black Stainless,['Steam Clean'],1660,4.2
180,RNG-73365,range,induction,Bosch,premium,36,37,27,4,White,"['Steam Clean', 'Self Clean', 'Convection', 'Griddle']",5540,4.2
181,RNG-02908,range,dual fuel,Cafe,premium,30,36,28,4,Black Stainless,"['Smart enabled', 'Self Clean', 'Steam Clean', 'WiFi']",5510,3.8
182,RNG-06754,range,induction,Samsung,mainstream,30,37,28,6,Black Stainless,"['Self Clean', 'WiFi']",3190,4.4
183,RNG-48776,range,gas,GE,mainstream,30,37,29,5,Black Stainless,"['Steam Clean', 'Smart enabled', 'Self Clean', 'Convection']",2580,4.6
184,RNG-41031,range,gas,Whirlpool,budget,30,36,29,6,White,"['Convection', 'Air Fry', 'Self Clean']",2030,4.7
185,RNG-99120,range,dual fuel,Cafe,premium,36,36,30,4,Black Stainless,"['WiFi', 'Steam Clean', 'Self Clean', 'Air Fry', 'Convection']",7470,3.9
186,RNG-31150,range,induction,Fisher & Paykel,luxury,36,36,28,4,Black,"['Convection', 'Griddle', 'Air Fry', 'Self Clean']",8180,3.9
187,RNG-21537,range,gas,Wolf,luxury,36,37,31,6,Stainless Steel,"['Smart enabled', 'Air Fry', 'WiFi', 'Steam Clean', 'Griddle']",8370,4.1
188,RNG-13792,range,dual fuel,Wolf,luxury,36,37,25,5,Black,"['Air Fry', 'WiFi', 'Self Clean', 'Smart enabled', 'Steam Clean']",12650,3.9
189,RNG-15896,range,electric,Bosch,premium,48,40,29,6,Black Stainless,"['Smart enabled', 'Steam Clean', 'Self Clean', 'Convection', 'Griddle']",6060,4.4
